,2010,2011,2012,2013,2014,2015
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2868763774023865,0.3234170463614056,0.26301226341669537,0.30745351102574725,0.3156235398675693,0.3285244884521521
2,0.6264985573672854,0.4955357150655041,0.4120694759457299,0.5104411149754463,0.7937501415973982,0.7940682334377482
3,0.808637962536484,0.7606309874808351,0.617757338079981,0.7256176514187916,1.02951197294225,1.0447369747749058
4,0.9491088207799446,1.0478039173660136,0.8339473389422045,0.9125974748148126,1.3098413322496838,1.265543069409798
5,1.1309010935515902,1.3643276207290114,1.0016530404676822,1.114738663748938,1.5904822350390337,1.4395450564628325
6,1.3358359935642918,1.7418285756282335,1.1615140179705559,1.345036669127335,1.8081231860822473,1.6748716166912712
7,1.474584281853055,2.0972654217605338,1.2738587132314343,3.263363583939014,2.1433047500469837,1.9433237834720147
8,1.6417199924055836,2.456205999444122,1.595446904812362,1.8801992211436196,2.326020218280693,2.0780347194093802
9,2.062555207555549,2.718250413510505,1.9288941694557833,2.5649708301428626,2.6507136429012013,2.5255472506962087
