,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.21,0.3224069972483098,0.3227281967879651,0.21156838666903954,0.16257759385161097,0.2046866921997489,0.13306893492668162,0.22707855942433028,0.242986037702776,0.18161333930969054
2,0.7,0.8174141284311803,0.6138933764135702,0.5051403295049518,0.41208943784780455,0.3798309752160289,0.7702862421714736,0.4263326810323558,0.32702233495879773,0.41830972186196635
3,0.9,1.0266673097447756,0.8597033061617134,0.7278318285255561,0.6366979526867556,0.6316043555221799,1.1094804170682553,0.6561393957649502,0.5026371793199693,0.5137930743210438
4,1.3,1.222628833344742,1.136747326955543,1.0699778360608816,0.8911170738596242,1.0083536293902078,1.237620399679387,0.8531297758650656,0.9741247659146073,0.7005953419229292
5,1.51,1.4119027660320507,1.4581379353467139,1.3567589482625975,1.4052531085549296,1.2257972665148065,1.36467186541663,0.9479054122132536,1.080951527457945,0.7605359736016714
6,1.73,1.612260518596911,1.6978624745532684,1.9352883436204587,1.8929393922372633,1.646730676393284,1.44571979321826,1.0812634847406404,1.2682948156138225,0.8394496311210924
7,2.06,1.8455040982389166,1.933951594661841,2.164468658369965,2.0322161395770153,1.8181717730700504,1.63968286753841,1.3072688142608069,1.547934139246681,1.1142472476961622
8,2.08,2.0427563707856673,2.0965058236272878,2.2362749381485765,2.3133702789549666,2.0484406401378124,1.7318355868380497,1.4930281506404377,1.8997982515131133,1.2097964001180288
9,2.21,2.4711686555070025,2.3647822661704385,2.5781226442592797,2.5767162721726775,2.2418354216213867,1.817549134479505,1.7501576348665115,2.0546031746031748,1.3218287494757026
