,2020,2021,2022,2023
0,0.0,0.0,0.0,0.0
1,0.2793888510689024,0.25344107633082247,0.2637117324022045,0.33932273928610085
2,0.7895931718682478,0.4664585199213656,0.384207133214487,0.49476195929100547
3,1.1286716118164004,0.7571650348068768,0.6855828780816954,0.6599319268004182
4,1.3750298834667807,0.8662360949956679,1.0476854141961025,0.7745094472085249
5,1.570342676012432,0.9878626965141751,1.2346478630553752,0.881067931215107
6,1.6451964912090296,1.1628311492163947,1.4212581223595886,1.008606888489587
7,1.7615989342842622,1.3729295210968695,1.6162377000634096,1.2272038588209415
8,2.0220965167554534,1.5974848396957702,2.6473784900803117,1.5320352664273151
9,2.3361467252803876,3.102121412674034,3.3845380861685386,1.8451619676219755
