,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3285244884521521,0.3511977626491409,0.2674199603204793,0.21857103806218428,0.25958567061101284,0.2793888510689024,0.25344107633082247,0.2637117324022045,0.33932273928610085
2,0.7940682334377482,0.745829989009816,0.5181214766084227,0.5677550112742145,0.47604054591962014,0.7895931718682478,0.4664585199213656,0.384207133214487,0.49476195929100547
3,1.0447369747749058,0.9931700243548546,0.7876014344805029,0.7715755577920134,0.6770589932319624,1.1286716118164004,0.7571650348068768,0.6855828780816954,0.6599319268004182
4,1.265543069409798,1.2545975117143995,1.1527375636321957,1.1511227353442008,0.9600059610855902,1.3750298834667807,0.8662360949956679,1.0476854141961025,0.7745094472085249
5,1.4395450564628325,1.444870756716172,1.513692009920717,1.5737476494041378,1.2243704290705364,1.570342676012432,0.9878626965141751,1.2346478630553752,0.881067931215107
6,1.6748716166912712,1.7013871036293633,1.9454502688498312,1.991875753852057,1.6036247192417084,1.6451964912090296,1.1628311492163947,1.4212581223595886,1.008606888489587
7,1.9433237834720147,1.949891872088653,2.1002303299340275,2.1661778339423314,1.8054333775906894,1.7615989342842622,1.3729295210968695,1.6162377000634096,1.2272038588209415
8,2.0780347194093802,2.2094403037898265,2.311588714948442,2.6517259079122484,2.174171513706469,2.0220965167554534,1.5974848396957702,2.6473784900803117,1.5320352664273151
9,2.5255472506962087,3.4463463967541452,2.677043519511077,3.117140656560891,2.496399050468725,2.3361467252803876,3.102121412674034,3.3845380861685386,1.8451619676219755
